Player,Season,Team,GP,G,A,P,+/-,P/GP,S,S%
Ryan Carpenter,20192020,CHI,9,0,1,1,-4,0.11,10,0
Christian Fischer,20192020,ARI,9,0,1,1,0,0.11,12,0
Lars Eller,20192020,WSH,5,0,1,1,-5,0.2,10,0
Brenden Dillon,20192020,WSH,8,0,1,1,0,0.13,9,0
Calvin de Haan,20192020,CHI,9,0,1,1,1,0.11,10,0
Tony DeAngelo,20192020,NYR,3,0,1,1,-6,0.33,5,0
Tom Kuhnhackl,20192020,NYI,3,0,1,1,2,0.33,1,0
Ryan Lindgren,20192020,NYR,3,0,1,1,0,0.33,1,0
Niklas Hjalmarsson,20192020,ARI,9,0,1,1,-7,0.11,3,0
Andrej Sekera,20192020,DAL,18,0,1,1,-3,0.06,14,0
Jacob Trouba,20192020,NYR,3,0,1,1,-2,0.33,8,0
Trevor van Riemsdyk,20192020,CAR,2,0,1,1,1,0.5,4,0
Carl Hagelin,20192020,WSH,8,0,1,1,-4,0.13,4,0
Ilya Kovalchuk,20192020,WSH,8,0,1,1,0,0.13,5,0
Nicklas Backstrom,20192020,WSH,5,0,1,1,-2,0.2,7,0
Xavier Ouellet,20192020,MTL,10,0,1,1,2,0.1,9,0
Jake Evans,20192020,MTL,6,0,1,1,-1,0.17,3,0
Jake Gardiner,20192020,CAR,6,0,1,1,0,0.17,4,0
Morgan Geekie,20192020,CAR,8,0,1,1,-1,0.13,4,0
Alex Belzile,20192020,MTL,6,0,1,1,1,0.17,4,0
Nick Holden,20192020,VGK,16,0,1,1,2,0.06,28,0
Adam Fox,20192020,NYR,3,0,0,0,2,0,6,0
Karson Kuhlman,20192020,BOS,5,0,0,0,-2,0,11,0
Loui Eriksson,20192020,VAN,10,0,0,0,0,0,16,0
Marco Scandella,20192020,STL,9,0,0,0,-3,0,9,0
Mackenzie MacEachern,20192020,STL,5,0,0,0,-2,0,6,0
Jack Johnson,20192020,PIT,4,0,0,0,-4,0,2,0
Olli Juolevi,20192020,VAN,1,0,0,0,0,0,0,--
Kaapo Kakko,20192020,NYR,3,0,0,0,-1,0,6,0
Ryan Dzingel,20192020,CAR,4,0,0,0,0,0,2,0
